 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
,,,,,,,,,,, 140 , 73 ,100%,53%,100%,60%,96%,57%,97%,52%,100%
,,,,,,,,,,, 141 , 74 ,100%,53%,100%,60%,96%,58%,97%,52%,100%
,,,,,,,,,,, 142 , 74 ,100%,53%,100%,60%,96%,58%,97%,52%,100%
,,,,,,,,,,, 143 , 74 ,100%,53%,100%,60%,96%,59%,97%,52%,100%
,,,,,,,,,,, 144 , 75 ,100%,53%,100%,60%,96%,59%,97%,52%,100%
,,,,,,,,,,, 145 , 75 ,100%,53%,100%,60%,96%,59%,97%,53%,100%
,,,,,,,,,,, 146 , 76 ,100%,53%,100%,60%,96%,59%,97%,53%,100%
,,,,,,,,,,, 147 , 76 ,100%,53%,100%,60%,96%,59%,97%,53%,100%
,,,,,,,,,,, 148 , 77 ,100%,54%,100%,60%,96%,59%,97%,54%,100%
,,,,,,,,,,, 149 , 77 ,100%,55%,100%,61%,96%,59%,97%,54%,100%
,,,,,,,,,,, 150 , 77 ,100%,56%,100%,61%,96%,59%,97%,55%,100%
,,,,,,,,,,, 151 , 78 ,100%,56%,100%,61%,96%,59%,97%,56%,100%
,,,,,,,,,,, 152 , 78 ,100%,56%,100%,61%,96%,59%,97%,56%,100%
,,,,,,,,,,, 153 , 79 ,100%,56%,100%,61%,96%,59%,97%,56%,100%
,,,,,,,,,,, 154 , 79 ,100%,56%,100%,61%,96%,59%,97%,56%,100%
,,,,,,,,,,, 155 , 79 ,100%,56%,100%,61%,96%,59%,97%,56%,100%
,,,,,,,,,,, 156 , 80 ,100%,56%,100%,61%,96%,59%,97%,56%,100%
,,,,,,,,,,, 157 , 80 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 158 , 81 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 159 , 81 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 160 , 82 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 161 , 82 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 162 , 82 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 163 , 83 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 164 , 83 ,100%,56%,100%,62%,96%,59%,97%,56%,100%
,,,,,,,,,,, 165 , 84 ,100%,56%,100%,64%,96%,59%,97%,56%,100%
,,,,,,,,,,, 166 , 84 ,100%,56%,100%,64%,96%,59%,97%,56%,100%
,,,,,,,,,,, 167 , 84 ,100%,56%,100%,64%,96%,59%,97%,56%,100%
,,,,,,,,,,, 168 , 85 ,100%,56%,100%,64%,96%,59%,97%,56%,100%
